Age group (years),New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,Australian Capital Territory,Australia
0–4,"494,107","399,074","313,797","98,283","171,933","29,020","17,770","27,753","1,551,905"
5–9,"512,674","416,631","339,219","106,027","175,153","31,702","17,803","28,855","1,628,353"
10–14,"500,844","397,012","345,180","105,492","170,545","33,316","16,977","26,005","1,595,668"
15–19,"468,218","376,773","318,826","101,919","154,806","31,005","15,125","23,838","1,490,744"
20–24,"539,956","471,073","338,683","114,378","166,747","31,637","16,089","32,600","1,711,366"
25–29,"607,925","534,995","370,432","117,730","184,889","34,100","22,044","33,970","1,906,323"
30–34,"611,511","533,551","362,465","118,684","204,008","33,323","23,871","35,704","1,923,413"
35–39,"582,662","495,301","354,127","115,988","198,230","32,073","20,513","35,331","1,834,541"
40–44,"512,658","425,202","325,180","104,948","174,123","30,073","17,246","30,148","1,619,877"
45–49,"527,114","431,094","348,030","112,218","178,093","34,204","16,456","29,078","1,676,642"
50–54,"484,670","402,683","321,204","111,835","168,302","34,359","15,506","25,600","1,564,496"
55–59,"495,353","390,448","317,620","114,617","162,370","37,679","14,245","23,702","1,556,404"
60–64,"461,528","361,015","288,415","109,173","147,303","37,241","11,618","20,780","1,437,447"
65–69,"404,358","314,351","254,304","98,465","127,332","33,677","8,654","17,827","1,259,284"
70–74,"355,470","274,620","225,898","88,666","108,222","30,090","5,935","15,965","1,105,117"
75–79,"253,390","193,263","156,694","62,327","73,565","20,740","3,456","10,442","774,039"
80–84,"175,166","136,717","100,394","43,445","50,349","13,609","1,747","7,011","528,533"
85–89,"107,287","83,806","57,512","27,086","29,722","7,962",761,"4,064","318,240"
90–94,"54,348","42,322","28,239","14,178","14,001","3,585",320,"1,925","158,935"
95–99,"15,698","12,258","7,955","4,177","3,976","1,022",75,552,"45,718"
100 and over,"2,126","1,671","1,099",643,558,119,12,65,"6,297"
